iter	Logloss
0	0.6701452804
1	0.6486081273
2	0.6274539869
3	0.6071498328
4	0.5907577138
5	0.5715214128
6	0.5551090287
7	0.5369248367
8	0.5211601784
9	0.5092893535
10	0.4949185346
11	0.4852474185
12	0.4720509106
13	0.4598374795
14	0.446117797
15	0.4351325944
16	0.4238473938
17	0.4128580509
18	0.4029650269
19	0.3933484969
20	0.384003129
21	0.3756106118
22	0.3674491553
23	0.3624999533
24	0.3545373964
25	0.3471074445
26	0.3421160901
27	0.3350015921
28	0.3294375179
29	0.3229915653
30	0.3162975261
31	0.3114267079
32	0.3051363452
33	0.2995366183
34	0.2938660475
35	0.2886460983
36	0.2837303237
37	0.2787693143
38	0.2742407392
39	0.2699706198
40	0.266202477
41	0.262559174
42	0.2586201537
43	0.2545670803
44	0.2519127886
45	0.2490191367
46	0.2457694233
47	0.2427173708
48	0.2399228427
49	0.2368980653
50	0.2339902875
51	0.2313845747
52	0.2291162325
53	0.2268188682
54	0.2241502014
55	0.2217775837
56	0.2194662075
57	0.2174800013
58	0.2155122575
59	0.2133408903
60	0.2111740094
61	0.2094132683
62	0.2078353097
63	0.2062288427
64	0.2045628941
65	0.2028914223
66	0.2012257204
67	0.1996688449
68	0.1982202682
69	0.1967507701
70	0.1952194038
71	0.1937366539
72	0.1926340214
73	0.1914392156
74	0.1904028918
75	0.1894706757
76	0.1884835954
77	0.1877026033
78	0.1865866966
79	0.185194416
80	0.1842870861
81	0.1832265063
82	0.1822806507
83	0.181588676
84	0.1805187676
85	0.1794020935
86	0.1783879353
87	0.1774583386
88	0.1765163436
89	0.1757860456
90	0.1749000352
91	0.1741625763
92	0.1734036267
93	0.1727289783
94	0.1719668581
95	0.1715268343
96	0.1707969508
97	0.170058464
98	0.169507408
99	0.169101807
100	0.1686332333
101	0.1678417956
102	0.1672868194
103	0.1664591689
104	0.1660039006
105	0.1654300623
106	0.1648988874
107	0.1642725615
108	0.1637400982
109	0.1632684476
110	0.1627330378
111	0.16231711
112	0.1619572682
113	0.1616930588
114	0.1613765287
115	0.1609638046
116	0.1606430528
117	0.1602401743
118	0.1599923345
119	0.159602947
120	0.1591542382
121	0.1587517843
122	0.1584156874
123	0.1581135991
124	0.1577963033
125	0.157596445
126	0.1573088245
127	0.15696826
128	0.156516973
129	0.1562644999
130	0.1559510034
131	0.1557383825
132	0.1554276661
133	0.1551862955
134	0.1549232731
135	0.1545562719
136	0.1543081228
137	0.1539794529
138	0.1536870578
139	0.1534679587
140	0.1531966592
141	0.152990667
142	0.1527413377
143	0.1525287444
144	0.1522105548
145	0.1519557449
146	0.1517056635
147	0.1514949897
148	0.1512566174
149	0.1509800355
150	0.1508127978
151	0.1506316975
152	0.1504423837
153	0.1502981113
154	0.1499472294
155	0.1497802386
156	0.1496168152
157	0.1493559483
158	0.1490971081
159	0.1489200427
160	0.1487148699
161	0.1485986101
162	0.1483953054
163	0.1481436799
164	0.1479932812
165	0.1478378065
166	0.1477098701
167	0.1475372847
168	0.1474077233
169	0.1471423046
170	0.146988751
171	0.1467827983
172	0.1466154912
173	0.1464870004
174	0.1463007163
175	0.1461487181
176	0.1459835318
177	0.1457901995
178	0.145662446
179	0.1454886134
180	0.1453110431
181	0.1451478242
182	0.1450092462
183	0.1449153933
184	0.1447996816
185	0.1446387926
186	0.1444839092
187	0.1443586787
188	0.1441938373
189	0.1439327936
190	0.1438321479
191	0.1437156055
192	0.1436032969
193	0.1434524816
194	0.1433579419
195	0.1432430076
196	0.1430996482
197	0.142980141
198	0.1428561915
199	0.1427406783
200	0.1426160955
201	0.1425149991
202	0.1424095397
203	0.142276481
204	0.1421495674
205	0.1420407005
206	0.1418899183
207	0.1417144047
208	0.1415933061
209	0.1413789058
210	0.1412275266
211	0.1410865458
212	0.1409718656
213	0.1408658013
214	0.1407544473
215	0.1406628662
216	0.1405523537
217	0.1404442582
218	0.1403476109
219	0.1402515583
220	0.1401350175
221	0.1400218372
222	0.1399074943
223	0.1398144402
224	0.1397289148
225	0.139611342
226	0.1394927515
227	0.1393984684
228	0.1393021561
229	0.1391793485
230	0.1390485974
231	0.1389322833
232	0.1388065113
233	0.138714534
234	0.1385941993
235	0.1384936762
236	0.1383889216
237	0.1382899557
238	0.13817338
239	0.1381016616
240	0.1380149491
241	0.1379598734
242	0.1378615671
243	0.137792697
244	0.1376657512
245	0.1375907939
246	0.1375269506
247	0.1374056013
248	0.1372829944
249	0.1371912693
250	0.1371179609
251	0.1370245719
252	0.1369419882
253	0.1367798593
254	0.1366696473
255	0.1365644186
256	0.1364926427
257	0.1363785199
258	0.1362653445
259	0.1361616948
260	0.136068783
261	0.1359359533
262	0.1358563366
263	0.1357775041
264	0.135677958
265	0.1355262603
266	0.1354618008
267	0.1353616671
268	0.1352753629
269	0.1351875542
270	0.1350941347
271	0.1350203386
272	0.1349348647
273	0.1348490599
274	0.1347661943
275	0.1346674021
276	0.1345674191
277	0.1345019493
278	0.1344219875
279	0.1343514159
280	0.1342315953
281	0.1341330446
282	0.1340574279
283	0.1339623815
284	0.1338820094
285	0.1338212751
286	0.1337126726
287	0.1336659502
288	0.1335800621
289	0.1335002662
290	0.1334104442
291	0.1333421252
292	0.1332361085
293	0.1331579775
294	0.1330969655
295	0.133001025
296	0.1328994918
297	0.1327915047
298	0.1326966273
299	0.1326414328
300	0.1325255601
301	0.1324254702
302	0.1323650431
303	0.1323009127
304	0.1321902462
305	0.132107179
306	0.1319916079
307	0.1319142168
308	0.1317900956
309	0.1317486016
310	0.1316578514
311	0.131609056
312	0.1315052104
313	0.1314434531
314	0.1313770456
315	0.131275036
316	0.1312181395
317	0.1311642725
318	0.1311115998
319	0.1310375456
320	0.1309824034
321	0.1308945082
322	0.1307904326
323	0.1307430822
324	0.1306639712
325	0.1305944856
326	0.1305101701
327	0.1304465201
328	0.1303770828
329	0.1303381466
330	0.130272694
331	0.1301860992
332	0.1301311646
333	0.1300536756
334	0.1299788121
335	0.1299242782
336	0.1298791632
337	0.1297623325
338	0.1297192589
339	0.1296455912
340	0.1295748995
341	0.1295106437
342	0.1294530012
343	0.1294007244
344	0.1292903421
345	0.1291980217
346	0.1291183745
347	0.1290445097
348	0.1289746457
349	0.1289088134
350	0.1288325595
351	0.1287590376
352	0.1286808163
353	0.1286283325
354	0.1285527352
355	0.1284959735
356	0.1284345311
357	0.1283426289
358	0.1282967302
359	0.1282279311
360	0.1281790804
361	0.1281234402
362	0.1280482877
363	0.1279749956
364	0.1278665193
365	0.1278077064
366	0.1277281149
367	0.1276728654
368	0.1275466583
369	0.1274594034
370	0.1273781761
371	0.1273171277
372	0.1272771226
373	0.1271960458
374	0.127101665
375	0.1270293348
376	0.1269883376
377	0.1269321799
378	0.1268816185
379	0.1267825179
380	0.1267273518
381	0.1266576884
382	0.1266028152
383	0.126538654
384	0.1264861721
385	0.1264320433
386	0.1263789055
387	0.126324067
388	0.1262466635
389	0.1261854474
390	0.1261210993
391	0.1260607647
392	0.1259933943
393	0.1258910181
394	0.1258202962
395	0.1257563031
396	0.125711828
397	0.125664832
398	0.1256170652
399	0.1255503563
400	0.1254876458
401	0.1254197838
402	0.1253504588
403	0.1252730265
404	0.1252354406
405	0.1251763801
406	0.1250885225
407	0.1250506203
408	0.1249744817
409	0.1248968136
410	0.124846383
411	0.1247778253
412	0.1247111277
413	0.1246607616
414	0.1246170897
415	0.1245370533
416	0.1244308889
417	0.1243744618
418	0.1243114781
419	0.1242641792
420	0.1241987256
421	0.1241164818
422	0.1240575315
423	0.123989183
424	0.1238911508
425	0.1238393913
426	0.1237463403
427	0.1236924089
428	0.1236193686
429	0.1235560986
430	0.1234762625
431	0.1234177846
432	0.1233661605
433	0.1232961774
434	0.1232380719
435	0.1231355812
436	0.1230647181
437	0.1230072635
438	0.1229451127
439	0.1228634834
440	0.122783539
441	0.1227120595
442	0.1226701058
443	0.1226002742
444	0.1225257375
445	0.1224502456
446	0.1223642066
447	0.1223231047
448	0.1222505282
449	0.1221914323
450	0.1221031564
451	0.1220013276
452	0.1219098837
453	0.121845823
454	0.1217815847
455	0.1216987068
456	0.1216543534
457	0.1215744554
458	0.1215318371
459	0.1214594116
460	0.1214167899
461	0.1213605612
462	0.1213023566
463	0.1212596839
464	0.1211957139
465	0.1211281383
466	0.1210627517
467	0.1210117626
468	0.1209262962
469	0.1208566967
470	0.120763189
471	0.1206897018
472	0.1206328332
473	0.120579797
474	0.1205150841
475	0.1204827151
476	0.1204307293
477	0.1204230228
478	0.1203641355
479	0.1203245481
480	0.1202851562
481	0.1202197408
482	0.1201466475
483	0.1201041478
484	0.1200412671
485	0.119969177
486	0.1199171413
487	0.1198860175
488	0.1197555954
489	0.1197006826
490	0.1196562475
491	0.1195753051
492	0.1195187256
